      1909.7,       181.6,       110.0,      1254.0,        32.0,        40.0,        27.0,       949.0,      1646.0
      1923.7,       200.4,       117.0,      1631.0,        35.0,       106.0,        30.0,      1262.0,      1411.0
      1092.1,       173.1,       110.0,       923.0,        26.0,        27.0,        23.0,       797.0,      1332.0
       871.9,       123.6,       112.0,       910.0,         nan,        26.0,        21.0,       636.0,       944.0
      1457.5,       203.9,       107.0,      1092.0,        22.0,        20.0,        19.0,       649.0,       844.0
      1049.1,       266.0,       112.0,       807.0,         nan,        27.0,        23.0,       715.0,       788.0
      2390.9,       196.9,       112.0,      1376.0,        29.0,        29.0,        28.0,      1056.0,      1181.0
      1329.5,       171.6,       111.0,       969.0,        25.0,        26.0,        24.0,       798.0,       902.0
      1003.5,       154.3,       113.0,       603.0,         nan,        25.0,        24.0,       640.0,       747.0
       847.5,       155.5,       110.0,       649.0,        23.0,        19.0,        18.0,       615.0,       721.0
      1995.6,       111.5,       113.0,       934.0,        31.0,        25.0,        24.0,       842.0,      1066.0
      1252.4,       164.9,       108.0,       802.0,         nan,        22.0,        22.0,       673.0,       783.0
      1666.8,       178.0,       110.0,      1045.0,        26.0,        30.0,        26.0,      1005.0,      1067.0
      1618.8,       177.9,       110.0,      1019.0,        28.0,        46.0,        25.0,       948.0,      1029.0
      1044.6,       159.6,       112.0,       613.0,         nan,        26.0,        25.0,       590.0,       673.0
      1068.7,       165.7,       107.0,       949.0,         nan,        23.0,        22.0,       747.0,       863.0
      1675.7,       170.8,       111.0,       934.0,         nan,        26.0,        24.0,       845.0,       929.0
      3510.6,       199.1,       112.0,      1661.0,        37.0,        33.0,        32.0,      1193.0,      1307.0
       630.2,        67.8,       105.0,       390.0,         nan,        26.0,        25.0,       429.0,       515.0
      2034.3,       244.8,       110.0,       970.0,        28.0,        29.0,        25.0,       900.0,      1033.0
       588.1,       106.2,       112.0,       406.0,         nan,        23.0,        22.0,       485.0,       579.0
      1957.7,       230.9,       118.0,      1929.0,         nan,        40.0,        36.0,      1641.0,      1750.0
      1597.3,       192.7,       111.0,      1085.0,        39.0,        48.0,        26.0,       939.0,      1574.0
       393.5,        57.0,       103.0,       237.0,         nan,        36.0,        38.0,       444.0,       524.0
      1580.1,       180.7,       111.0,       993.0,        54.0,        27.0,        26.0,       943.0,      1566.0
      1482.9,       342.8,       109.0,       841.0,         nan,        31.0,        29.0,       809.0,      1388.0
       636.0,        62.5,       107.0,       706.0,         nan,        24.0,        22.0,       417.0,       821.0
       612.7,        63.5,       107.0,       661.0,         nan,        20.0,        18.0,       379.0,       720.0
      1436.3,       209.0,       110.0,       904.0,        26.0,        28.0,        25.0,       848.0,      1588.0
      1244.2,       165.1,       108.0,       833.0,        24.0,        27.0,        22.0,       760.0,      1486.0
       555.1,        58.5,       104.0,       296.0,         nan,        36.0,        35.0,       373.0,       556.0
      1491.8,       176.2,       114.0,      1165.0,        29.0,        26.0,        25.0,       964.0,      1750.0
      1382.4,       151.9,       115.0,      1125.0,         nan,        31.0,        29.0,      1094.0,      1894.0
      2983.8,       267.4,       117.0,      2187.0,        38.0,        37.0,        35.0,      1397.0,      2369.0
       935.9,       227.1,       110.0,       878.0,         nan,        26.0,        25.0,       863.0,      1542.0
      1180.6,       123.6,       108.0,       681.0,         nan,        26.0,        23.0,       672.0,      1178.0
       705.4,        67.1,       104.0,       459.0,        26.0,        19.0,        17.0,       466.0,       826.0
      2333.4,       188.1,       115.0,      1284.0,         nan,        30.0,        30.0,      1118.0,      1871.0
      1930.5,       142.8,       111.0,      1287.0,        30.0,        31.0,        28.0,      1152.0,      1859.0
      1362.6,       413.5,       114.0,      1168.0,        28.0,        31.0,        26.0,      1090.0,      1196.0
      2379.3,       198.0,       113.0,      1255.0,        35.0,        80.0,        32.0,      1213.0,      1355.0
      1837.3,       355.1,       108.0,       786.0,        21.0,        27.0,        21.0,       730.0,      1387.0
      1856.2,       244.4,       118.0,      1754.0,        40.0,        34.0,        32.0,      1396.0,      2533.0
      1476.6,       188.4,       116.0,      1041.0,        29.0,        26.0,        24.0,       970.0,      1846.0
      2262.7,       246.2,       112.0,      1315.0,        29.0,        30.0,        29.0,      1098.0,      1785.0
      1677.4,       179.5,       116.0,      1166.0,        27.0,        28.0,        27.0,       945.0,      1778.0
      2351.6,       206.5,       113.0,      1366.0,        26.0,        26.0,        25.0,       890.0,      1494.0
      1238.0,       131.4,       113.0,      1207.0,        32.0,        32.0,        29.0,      1116.0,      1794.0
      1627.3,       189.2,       110.0,       929.0,         nan,        28.0,        28.0,       887.0,      1541.0
      2214.1,       193.2,       108.0,      1027.0,         nan,        61.0,        29.0,       894.0,      1541.0
      1507.3,       192.7,       112.0,       739.0,        21.0,        22.0,        21.0,       681.0,      1202.0
       883.7,        73.2,       105.0,       561.0,         nan,        20.0,        19.0,       525.0,      1016.0
      1697.7,       443.9,       112.0,      1461.0,        30.0,        31.0,        29.0,      1158.0,      2058.0
      1157.2,       266.2,       108.0,       665.0,         nan,        32.0,        31.0,       676.0,       976.0
      1023.0,       134.9,       107.0,       922.0,        22.0,        25.0,        23.0,       839.0,      1572.0
      1363.8,       155.0,       112.0,       824.0,        25.0,        24.0,        23.0,       705.0,      1170.0
      1659.1,       278.9,       113.0,      1163.0,        30.0,        28.0,        27.0,      1045.0,      1580.0
       804.7,        67.2,       106.0,       814.0,        24.0,        22.0,        20.0,       605.0,       949.0
      2211.1,       192.3,       110.0,      1225.0,        34.0,        32.0,        30.0,      1099.0,      1874.0
      1068.3,       165.2,       108.0,       809.0,        25.0,        22.0,        21.0,       781.0,      1405.0
      2066.4,       318.5,       113.0,      1254.0,        31.0,        31.0,        29.0,      1083.0,      1742.0
       831.7,        73.7,       108.0,       809.0,        20.0,        19.0,        18.0,       567.0,       741.0
      1446.2,       171.0,       113.0,      1097.0,         nan,        25.0,        25.0,       709.0,      1015.0
      1070.5,       238.4,       107.0,       468.0,         nan,        28.0,        28.0,       586.0,       973.0
      1284.5,       173.5,       109.0,       953.0,        23.0,        24.0,        22.0,       815.0,      1145.0
      3730.1,       216.8,       117.0,      1840.0,        41.0,        41.0,        38.0,      1609.0,      1708.0
      1878.8,       260.7,       120.0,      2136.0,        31.0,        31.0,        29.0,      1152.0,      1295.0
      1245.1,       179.6,       112.0,      1122.0,        39.0,        25.0,        23.0,       947.0,      1039.0
      1897.7,       208.6,       116.0,      1433.0,        33.0,        33.0,        30.0,      1199.0,      1585.0
      2402.6,       224.2,       123.0,      1812.0,        48.0,        38.0,        34.0,      1501.0,      1775.0
      1213.1,       315.0,       107.0,       562.0,         nan,        27.0,        27.0,       569.0,       646.0
      1172.8,       160.3,       111.0,       873.0,        19.0,        19.0,        18.0,       668.0,       908.0
      1621.7,       205.5,       112.0,       864.0,         nan,        28.0,        26.0,       838.0,      1131.0
      1227.8,       168.4,       108.0,       748.0,         nan,        25.0,        24.0,       718.0,       821.0
      1282.2,       176.6,       114.0,       936.0,        25.0,        25.0,        23.0,       814.0,       917.0
      1868.6,       179.2,       109.0,      1006.0,        26.0,        27.0,        25.0,       927.0,      1038.0
      1176.0,       215.7,       111.0,      1057.0,         nan,        23.0,        22.0,       621.0,       714.0
      1157.3,       270.8,       108.0,       986.0,         nan,        23.0,        22.0,       627.0,       705.0
      1460.9,       171.7,       110.0,       931.0,         nan,        25.0,        24.0,       842.0,       918.0
      1988.8,       192.6,       112.0,      1223.0,        31.0,        28.0,        28.0,      1041.0,      1780.0
       935.8,       161.5,       112.0,       931.0,         nan,        27.0,        27.0,       586.0,       707.0
      2600.1,       191.5,       111.0,      1717.0,        35.0,        35.0,        33.0,      1319.0,      1945.0
       866.9,       161.9,       109.0,       556.0,         nan,        20.0,        20.0,       534.0,       637.0
      1466.3,       175.5,       110.0,       942.0,        25.0,        26.0,        23.0,       790.0,       912.0
      1045.0,       146.4,       112.0,      1105.0,         nan,        28.0,        26.0,       957.0,      1046.0
       991.6,       157.3,       107.0,       546.0,         nan,        23.0,        22.0,       552.0,       919.0
      1980.8,       174.6,       114.0,       953.0,         nan,        28.0,        26.0,       792.0,      1613.0
       997.3,       161.3,       108.0,       720.0,        20.0,        21.0,        20.0,       629.0,      1030.0
       973.2,       161.7,       109.0,       660.0,        20.0,        20.0,        19.0,       628.0,       919.0
       982.5,       157.4,       107.0,       936.0,         nan,        29.0,        22.0,       541.0,       978.0
      1314.3,       167.0,       109.0,       708.0,        20.0,        23.0,        21.0,       688.0,       920.0
      1552.3,       181.3,       109.0,       978.0,         nan,        31.0,        27.0,       923.0,      1403.0
      1390.2,       178.5,       114.0,       899.0,        23.0,        23.0,        23.0,       840.0,       898.0
      1125.9,       162.1,       109.0,       581.0,         nan,        22.0,        22.0,       631.0,       740.0
      1711.6,       169.4,       109.0,       775.0,         nan,        24.0,        24.0,       741.0,      1121.0
       798.4,       148.0,       108.0,       599.0,         nan,        27.0,        26.0,       504.0,       585.0
      1685.0,       179.8,       114.0,       923.0,        26.0,        26.0,        24.0,       859.0,      1420.0
      1332.2,       145.2,       108.0,       917.0,        23.0,        25.0,        23.0,       844.0,      1038.0
      3321.6,       207.2,       114.0,      1485.0,        35.0,        36.0,        33.0,      1365.0,      1737.0
      2718.6,       165.9,       111.0,       879.0,         nan,        66.0,        25.0,       831.0,      1355.0
